acheter,to buy
aimer,to love;to like
aller,to go
appeler,to call
arriver,to arrive
attendre,to wait
avoir,to have
boire,to drink
chercher,to search;to look for
commencer,to start
comprendre,to understand
connaître;connaitre,to know (someone or something);to know
croire,to believe
demander,to ask
devenir,to become
devoir,to have to
dire,to say;to tell
donner,to give
dormir,to sleep
écouter;ecouter,to listen
entendre,to hear
entrer,to enter
être;etre,to be
faire,to do;to make
finir,to finish
lire,to read
manger,to eat
mettre,to put
montrer,to show
ouvrir,to open
parler,to speak;to talk
partir,to leave
passer,to go;to pass
penser,to think
porter,to wear;to carry
pouvoir,to be able to
prendre,to take
reçevoir,to receive
regarder,to watch;to look at
repondre,to answer
rester,to stay
rire,to laugh
savoir,to know
sortir,to go out
travailler,to work
trouver,to find
venir,to come
vivre,to live
voir,to see
vouloir,to want
la pomme,apple
la maison,house
le bureau,office
le stylo,pen
le portable,phone
le homme,man
la femme,woman
le repas,meal
le petit déjeuner;le petit dejeuner,breakfast
le déjeuner;le dejeuner,lunch
le dîner;le diner,dinner
la nourriture,food
la voiture,car
la rue,street
l\'horloge,clock
la boisson,drink
l\'eau,water
le lait,milk
le pain,bread
le vin,wine
le fromage,cheese
le jour,day
le mois,month
l\'année;l\'annee,year
la viande,meat
le chat;la chatte,cat
le chien;la chienne,dog
le lapin;la lapine,rabbit
la souris,mouse
le cheval,horse
le serpent,snake
la vache,cow
le mouton,sheep
l\'agneau,lamb
la chèvre;la chevre,goat
le porc;le cochon,pig
le canard,duck
l\'âne;l\'ane,donkey
le poisson,fish
bon;bonne,good
mauvais;mauvaise,bad
joli;jolie,pretty
laid;laide,ugly
beau;belle,beautiful
grand;grande,tall;big;grand
petit;petite,short;small
jeune,young
ancien;ancienne;vieil;vielle,old
nouveau;nouvelle,new
gros;grosse,fat
mince,thin
